model;threshold;n_peaks;n_non;MAE_peaks;MAE_nonpeaks;WMAE;precision_peak;recall_peak;f1_peak;Peak_Quantile
XGB_ES;755,55;124;2346;34,892;27,860;28,822;0,743;0,911;0,819;0,95
GBR_ES;755,55;124;2346;31,847;28,095;28,608;0,74;0,895;0,810;0,95
SARIMAX;755,55;124;2346;36,426;40,232;39,711;0,640;0,919;0,755;0,95
SARIMA;755,55;124;2346;183,631;109,369;119,533;;0;;0,95
Seq2Seq;755,55;124;2346;32,347;29,123;29,564;0,822;0,782;0,802;0,95
TiDE;755,55;124;2346;31,490;26,143;26,875;0,838;0,790;0,813;0,95
Transformer;755,55;124;2346;37,955;30,497;31,518;0,778;0,847;0,811;0,95
AutoML;755,55;124;2346;40,660;34,330;35,196;0,899;0,718;0,798;0,95
;;;;;;;;;;
XGB_ES;720;199;2271;33,720;27,730;28,977;0,854;0,879;0,866;0,92
GBR_ES;720;199;2271;34,337;27,752;29,123;0,864;0,829;0,846;0,92
SARIMAX;720;199;2271;37,366;40,275;39,669;0,726;0,905;0,805;0,92
SARIMA;720;199;2271;168,801;108,216;120,827;;0;;0,92
Seq2Seq;720;199;2271;32,403;29,012;29,717;0,912;0,829;0,868;0,92
TiDE;720;199;2271;32,265;25,898;27,224;0,890;0,809;0,847;0,92
Transformer;720;199;2271;35,514;30,465;31,516;0,866;0,844;0,855;0,92
AutoML;720;199;2271;39,921;34,186;35,380;0,928;0,709;0,803;0,92
;;;;;;;;;;
XGB_ES;690;278;2192;34,673;27,393;29,400;0,895;0,856;0,875;0,89
GBR_ES;690;278;2192;36,462;27,246;29,786;0,879;0,813;0,845;0,89
SARIMAX;690;278;2192;38,911;40,184;39,833;0,785;0,881;0,831;0,89
SARIMA;690;278;2192;163,669;106,684;122,389;1;0,014;0,028;0,89
Seq2Seq;690;278;2192;33,997;28,687;30,151;0,891;0,763;0,822;0,89
TiDE;690;278;2192;34,677;25,363;27,930;0,907;0,770;0,833;0,89
Transformer;690;278;2192;37,481;30,034;32,086;0,909;0,795;0,848;0,89
AutoML;690;278;2192;41,679;33,756;35,940;0,917;0,712;0,802;0,89
