transformer_feature,transformer_importance
sumaryczna_generacja_jednostek_nieuczestniczacych,0.336823
std_6h,0.339795
sumaryczna_generacja_JGMa,0.366717
sumaryczna_generacja_JGxx,0.370845
predkosc_wiatru,0.374971
pl_produkcja_gaz,0.390286
cos168,0.592540
fixing_i_price_roll24_min,0.596612
pl_produkcja_wegiel_brunatny,0.662168
solar_share,0.799195
sin24,0.810523
wind_share,1.836275
pl_produkcja_wegiel_kamienny,2.778638
pl_produkcja_wiatr,2.958616
zapotrzebowanie_na_moc,3.225318
pl_produkcja_slonce,3.778527
imbalance_ratio,5.580798
price_x_imbalance,17.665675
price_over_load,22.247769
price_minus_norm_load,25.597454
