Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
model;threshold;n_peaks;n_non;MAE_peaks;MAE_nonpeaks;WMAE;precision_peak;recall_peak;f1_peak;
XGB_ES;755,55;8;328;14,52894875;35,17277893;33,76524505;0,5;1;0,666666667;
GBR_ES;755,55;8;328;17,20713999;31,26723647;30,30859353;0,571428571;1;0,727272727;
SARIMAX;755,55;8;328;28,44949182;44,3392744;43,25588014;0,318181818;0,875;0,466666667;
SARIMA;755,55;8;328;174,8073763;129,0685358;132,1870931;;0;;
Seq2Seq;755,55;8;328;56,71127838;37,22008172;38,54902695;0,833333333;0,625;0,714285714;
TiDE;755,55;8;328;28,29587311;25,96999192;26,12857473;0,857142857;0,75;0,8;
Transformer;755,55;8;328;29,361318;40,60815335;39,84132366;0,7;0,875;0,777777778;
AutoML;755,55;8;328;29,95716614;43,42506485;42,50679903;0,75;0,75;0,75;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
model;threshold;n_peaks;n_non;MAE_peaks;MAE_nonpeaks;WMAE;precision_peak;recall_peak;f1_peak;
XGB_ES;720;18;318;23,80671333;35,29679949;33,62888376;0,708333333;0,944444444;0,80952381;
GBR_ES;720;18;318;20,68842906;31,51232377;29,94111325;0,736842105;0,777777778;0,756756757;
SARIMAX;720;18;318;34,31817868;44,50676328;43,02777519;0,514285714;1;0,679245283;
SARIMA;720;18;318;156,1748071;128,6848812;132,6753543;;0;;
Seq2Seq;720;18;318;34,71876953;37,85201;37,39718477;0,928571429;0,722222222;0,8125;
TiDE;720;18;318;21,07523953;26,30556611;25,54632515;0,888888889;0,888888889;0,888888889;
Transformer;720;18;318;27,72198606;41,05461979;39,11923747;0,928571429;0,722222222;0,8125;
AutoML;720;18;318;22,03421821;44,29705243;41,06535068;1;0,777777778;0,875;
;;;;;;;;;;
;;;;;;;;;;
model;threshold;n_peaks;n_non;MAE_peaks;MAE_nonpeaks;WMAE;precision_peak;recall_peak;f1_peak;
XGB_ES;690;32;304;26,324515;35,56091644;33,3441801;0,9;0,84375;0,870967742;
GBR_ES;690;32;304;23,56154154;31,70835971;29,75312335;0,90625;0,90625;0,90625;
SARIMAX;690;32;304;38,6188478;44,5232724;43,1062105;0,731707317;0,9375;0,821917808;
SARIMA;690;32;304;155,9106302;127,4467059;134,2780477;;0;;
Seq2Seq;690;32;304;28,5420446;38,64648554;36,22141972;0,961538462;0,78125;0,862068966;
TiDE;690;32;304;16,99451485;26,97598638;24,58043321;0,875;0,875;0,875;
Transformer;690;32;304;32,46050281;41,16983142;39,07959256;1;0,6875;0,814814815;
AutoML;690;32;304;19,89664978;45,54732173;39,39116046;0,923076923;0,75;0,827586207;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
XGB_ES;755,55;8;328;14,529;35,173;33,765;0,5;1;0,667;95
GBR_ES;755,55;8;328;17,207;31,267;30,309;0,571;1;0,727;95
SARIMAX;755,55;8;328;28,449;44,339;43,256;0,318;0,875;0,467;95
SARIMA;755,55;8;328;174,807;129,069;132,187;;0;;95
Seq2Seq;755,55;8;328;56,711;37,22;38,549;0,833;0,625;0,714;95
TiDE;755,55;8;328;28,296;25,97;26,129;0,857;0,75;0,8;95
Transformer;755,55;8;328;29,361;40,608;39,841;0,7;0,875;0,777777778;95
AutoML;755,55;8;328;29,957;43,425;42,507;0,75;0,75;0,75;95
;;;;;;;;;;
XGB_ES;720;18;318;23,807;35,297;33,629;0,708;0,944;0,81;92
GBR_ES;720;18;318;20,688;31,512;29,941;0,737;0,778;0,757;92
SARIMAX;720;18;318;34,318;44,507;43,028;0,514;1;0,679;92
SARIMA;720;18;318;156,175;128,685;132,675;;0;;92
Seq2Seq;720;18;318;34,719;37,852;37,397;0,929;0,722;0,8125;92
TiDE;720;18;318;21,075;26,306;25,546;0,889;0,889;0,889;92
Transformer;720;18;318;27,722;41,055;39,119;0,929;0,722;0,813;92
AutoML;720;18;318;22,034;44,297;41,065;1;0,778;0,875;92
;;;;;;;;;;
XGB_ES;690;32;304;26,325;35,561;33,344;0,9;0,844;0,871;89
GBR_ES;690;32;304;23,562;31,708;29,753;0,906;0,906;0,906;89
SARIMAX;690;32;304;38,619;44,523;43,106;0,732;0,9375;0,822;89
SARIMA;690;32;304;155,911;127,447;134,278;;0;;89
Seq2Seq;690;32;304;28,542;38,646;36,221;0,962;0,781;0,862;89
TiDE;690;32;304;16,995;26,976;24,58;0,875;0,875;0,875;89
Transformer;690;32;304;32,461;41,17;39,08;1;0,688;0,815;89
AutoML;690;32;304;19,897;45,547;39,391;0,923;0,75;0,828;89
