model,Peak Quantile,threshold,n_peaks,n_non,MAE_peaks,MAE_nonpeaks,WMAE,precision_peak,recall_peak,f1_peak
XGB,0.95,780.2499999999998,84,1596,32.33853477380952,23.60731649874687,24.797937172619047,0.8390804597701149,0.8690476190476191,0.8538011695906432
GBR,0.95,780.2499999999998,84,1596,32.438104499999994,26.079175434837094,26.946302125541123,0.813953488372093,0.8333333333333334,0.8235294117647058
SARIMA,0.95,780.2499999999998,84,1596,163.6028581428572,110.08976123621557,117.38700172348486,0.24324324324324326,0.10714285714285714,0.1487603305785124
SARIMAX,0.95,780.2499999999998,84,1596,46.87458105952381,38.057597612155384,39.25991353679653,0.84,0.75,0.7924528301886793
Transformer,0.95,780.2499999999998,84,1596,39.67343195238095,29.002350983709274,30.45749838852814,0.7263157894736842,0.8214285714285714,0.7709497206703911
TiDE,0.95,780.2499999999998,84,1596,33.07111810593378,27.163412290172996,27.969008537776745,0.8192771084337349,0.8095238095238095,0.8143712574850299
Seq2Seq,0.95,780.2499999999998,84,1596,35.43255757649739,31.522236259236347,32.05546189340831,0.8783783783783784,0.7738095238095238,0.8227848101265823
AutoML,0.95,780.2499999999998,84,1596,43.42260841006324,35.259054994445954,36.372266823848314,0.9393939393939394,0.7380952380952381,0.8266666666666667
XGB,0.92,727.9652000000002,135,1545,30.822106577777777,23.45160496116505,24.98240145076923,0.8472222222222222,0.9037037037037037,0.8745519713261649
GBR,0.92,727.9652000000002,135,1545,32.902212014814815,25.82871595469256,27.297826674871796,0.8402777777777778,0.8962962962962963,0.867383512544803
SARIMA,0.92,727.9652000000002,135,1545,140.1881395111111,110.36925578187702,116.56240855641028,0.3958333333333333,0.2814814814814815,0.329004329004329
SARIMAX,0.92,727.9652000000002,135,1545,44.37939317037038,37.98457768284789,39.31273166871795,0.7777777777777778,0.7777777777777778,0.7777777777777778
Transformer,0.92,727.9652000000002,135,1545,40.465337496296286,28.5809060789644,31.049211065641018,0.825503355704698,0.9111111111111111,0.8661971830985916
TiDE,0.92,727.9652000000002,135,1545,34.57168930844907,26.837282769821307,28.44365951245938,0.849624060150376,0.837037037037037,0.8432835820895522
Seq2Seq,0.92,727.9652000000002,135,1545,34.914212655526626,31.438449966130033,32.16033914008163,0.8778625954198473,0.8518518518518519,0.8646616541353385
AutoML,0.92,727.9652000000002,135,1545,40.12446737557871,35.277765554613545,36.28438824050632,0.896551724137931,0.7703703703703704,0.8286852589641435
XGB,0.89,692.4680999999999,185,1495,32.065121399999995,23.05128200267558,25.49161413219512,0.8723404255319149,0.8864864864864865,0.8793565683646113
GBR,0.89,692.4680999999999,185,1495,33.769764827027025,25.484788146488295,27.727794028292685,0.8702702702702703,0.8702702702702703,0.8702702702702703
SARIMA,0.89,692.4680999999999,185,1495,140.09816406486485,109.38310278595318,117.69864376634146,0.5159235668789809,0.43783783783783786,0.47368421052631576
SARIMAX,0.89,692.4680999999999,185,1495,42.49007158378379,38.00449990301003,39.218886382439024,0.8167539267015707,0.8432432432432433,0.8297872340425532
Transformer,0.89,692.4680999999999,185,1495,39.49237284864864,28.3038337638796,31.332926052682925,0.844559585492228,0.8810810810810811,0.8624338624338624
TiDE,0.89,692.4680999999999,185,1495,34.80412783730997,26.549843669640264,28.78454011503377,0.8813559322033898,0.8432432432432433,0.861878453038674
Seq2Seq,0.89,692.4680999999999,185,1495,34.26761027238176,31.40221806406446,32.177970588755244,0.8700564971751412,0.8324324324324325,0.850828729281768
AutoML,0.89,692.4680999999999,185,1495,38.6756104967272,35.29495848540904,36.21020817627811,0.8823529411764706,0.8108108108108109,0.8450704225352113
